tdd_id,epic_id,tdd_title,tdd_version,tdd_status,tdd_author,tdd_created_date,tdd_last_updated,tdd_technologies,tdd_dependencies,tdd_section_id,tdd_section_name,tdd_section_order,tdd_section_content_summary
TDD-006,EPIC-006,Analytics Dashboard Technical Design,1.0,Draft,analytics.lead@company.com,2025-02-28,2025-03-01,"React,TypeScript,D3.js,ClickHouse,Apache Spark","data-warehouse,user-service,order-service",TDD-006-SEC-05,Report Generation,5,Scheduled reports with PDF export
TDD-007,EPIC-007,API Gateway Migration Technical Design,1.1,Approved,devops.lead@company.com,2025-02-05,2025-02-10,"Kong,Lua,PostgreSQL,Redis,Kubernetes",all-services,TDD-007-SEC-01,Overview,1,Migration goals from legacy to Kong gateway
TDD-007,EPIC-007,API Gateway Migration Technical Design,1.1,Approved,devops.lead@company.com,2025-02-05,2025-02-10,"Kong,Lua,PostgreSQL,Redis,Kubernetes",all-services,TDD-007-SEC-02,Kong Architecture,2,HA deployment on Kubernetes with PostgreSQL
TDD-007,EPIC-007,API Gateway Migration Technical Design,1.1,Approved,devops.lead@company.com,2025-02-05,2025-02-10,"Kong,Lua,PostgreSQL,Redis,Kubernetes",all-services,TDD-007-SEC-03,Plugin Configuration,3,Rate limiting JWT auth and logging plugins
TDD-007,EPIC-007,API Gateway Migration Technical Design,1.1,Approved,devops.lead@company.com,2025-02-05,2025-02-10,"Kong,Lua,PostgreSQL,Redis,Kubernetes",all-services,TDD-007-SEC-04,Migration Strategy,4,Traffic shadowing and phased rollout plan
TDD-007,EPIC-007,API Gateway Migration Technical Design,1.1,Approved,devops.lead@company.com,2025-02-05,2025-02-10,"Kong,Lua,PostgreSQL,Redis,Kubernetes",all-services,TDD-007-SEC-05,Monitoring and Observability,5,Prometheus metrics and Grafana dashboards
TDD-008,EPIC-008,Mobile Backend Technical Design,1.3,Approved,mobile.lead@company.com,2025-01-18,2025-01-22,"Node.js,GraphQL,PostgreSQL,Redis,Firebase","auth-service,catalog-service,order-service,notification-service",TDD-008-SEC-01,Overview,1,Mobile backend requirements for iOS and Android
TDD-008,EPIC-008,Mobile Backend Technical Design,1.3,Approved,mobile.lead@company.com,2025-01-18,2025-01-22,"Node.js,GraphQL,PostgreSQL,Redis,Firebase","auth-service,catalog-service,order-service,notification-service",TDD-008-SEC-02,GraphQL Schema Design,2,Queries mutations and subscriptions schema
TDD-008,EPIC-008,Mobile Backend Technical Design,1.3,Approved,mobile.lead@company.com,2025-01-18,2025-01-22,"Node.js,GraphQL,PostgreSQL,Redis,Firebase","auth-service,catalog-service,order-service,notification-service",TDD-008-SEC-03,Mobile-Specific Optimizations,3,Compression image optimization and persisted queries
TDD-008,EPIC-008,Mobile Backend Technical Design,1.3,Approved,mobile.lead@company.com,2025-01-18,2025-01-22,"Node.js,GraphQL,PostgreSQL,Redis,Firebase","auth-service,catalog-service,order-service,notification-service",TDD-008-SEC-04,Offline Support,4,Delta sync and conflict resolution strategy
TDD-008,EPIC-008,Mobile Backend Technical Design,1.3,Approved,mobile.lead@company.com,2025-01-18,2025-01-22,"Node.js,GraphQL,PostgreSQL,Redis,Firebase","auth-service,catalog-service,order-service,notification-service",TDD-008-SEC-05,Push Notification Integration,5,Firebase Cloud Messaging integration
TDD-009,EPIC-009,Inventory Management Technical Design,1.0,Draft,warehouse.mgr@company.com,2025-02-25,2025-02-28,"Python,FastAPI,PostgreSQL,Redis,Kafka","order-service,catalog-service,shipping-service",TDD-009-SEC-01,Overview,1,Real-time inventory tracking requirements
TDD-009,EPIC-009,Inventory Management Technical Design,1.0,Draft,warehouse.mgr@company.com,2025-02-25,2025-02-28,"Python,FastAPI,PostgreSQL,Redis,Kafka","order-service,catalog-service,shipping-service",TDD-009-SEC-02,Stock Management,2,Stock levels movements and alerts
TDD-009,EPIC-009,Inventory Management Technical Design,1.0,Draft,warehouse.mgr@company.com,2025-02-25,2025-02-28,"Python,FastAPI,PostgreSQL,Redis,Kafka","order-service,catalog-service,shipping-service",TDD-009-SEC-03,Warehouse Operations,3,Receiving picking and packing workflows
TDD-009,EPIC-009,Inventory Management Technical Design,1.0,Draft,warehouse.mgr@company.com,2025-02-25,2025-02-28,"Python,FastAPI,PostgreSQL,Redis,Kafka","order-service,catalog-service,shipping-service",TDD-009-SEC-04,Reservation System,4,Stock reservation and auto-release logic
TDD-009,EPIC-009,Inventory Management Technical Design,1.0,Draft,warehouse.mgr@company.com,2025-02-25,2025-02-28,"Python,FastAPI,PostgreSQL,Redis,Kafka","order-service,catalog-service,shipping-service",TDD-009-SEC-05,Reporting and Analytics,5,Stock value movement and aging reports
TDD-010,EPIC-010,CI/CD Modernization Technical Design,2.0,Approved,devops.lead@company.com,2025-01-24,2025-01-28,"GitHub Actions,ArgoCD,Terraform,Docker,Trivy,SonarQube",all-services,TDD-010-SEC-01,Overview,1,Pipeline modernization goals and scope
TDD-010,EPIC-010,CI/CD Modernization Technical Design,2.0,Approved,devops.lead@company.com,2025-01-24,2025-01-28,"GitHub Actions,ArgoCD,Terraform,Docker,Trivy,SonarQube",all-services,TDD-010-SEC-02,Build Pipeline,2,Reusable GitHub Actions workflows
TDD-010,EPIC-010,CI/CD Modernization Technical Design,2.0,Approved,devops.lead@company.com,2025-01-24,2025-01-28,"GitHub Actions,ArgoCD,Terraform,Docker,Trivy,SonarQube",all-services,TDD-010-SEC-03,Security Scanning,3,Trivy and SonarQube integration
TDD-010,EPIC-010,CI/CD Modernization Technical Design,2.0,Approved,devops.lead@company.com,2025-01-24,2025-01-28,"GitHub Actions,ArgoCD,Terraform,Docker,Trivy,SonarQube",all-services,TDD-010-SEC-04,GitOps Deployment,4,ArgoCD setup with app-of-apps pattern
TDD-010,EPIC-010,CI/CD Modernization Technical Design,2.0,Approved,devops.lead@company.com,2025-01-24,2025-01-28,"GitHub Actions,ArgoCD,Terraform,Docker,Trivy,SonarQube",all-services,TDD-010-SEC-05,Environment Management,5,Dev staging prod promotion workflow
